# Samet-AV Sample Signature List (Test Import)
# Format: SHA256,MALWARE_NAME
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Test.EICAR.Standard-File
b2f5ff474366bdd1a91d76472141a4a4f89d38c1a6b0c2fb753d395a759089e3,Ransom.Win32.WannaCry.A
24d004a104d4d54034dbcffc2a4b19a11f39008a575aa614ea04703480b1022c,Trojan.Win32.Emotet.Gen
5efa7d35b02065075974b160932c53066aeb195e1e35c923dff4aef589323c4a,Ransom.Win32.LockBit.1
6d9828c5ec8d6ae63568063f84a57c55e1e97b2962e713f369debd5110714478,Backdoor.Win32.DarkComet.2
dfc98eabe225ed9a101b713c3d39004e9f0dd376a4e50fc3389706fe371ff443,Spyware.Win32.AgentTesla.3
f416c73bd04ee5351d00056061471b7c9b7d040c6ff33f085a0500d58679b4d3,Trojan.Win32.RedLine.4
e451ab4551846e13938ae736987f8e0c3f1f4fb3a98aba527285eea12e4aae78,Miner.Win32.XMRig.5
468c9080f3c87a0371fa8347191d615277864117c6e4d0ea9131658ecb57f8b1,Trojan.Win32.Emotet.6
a3c2d228694254b9e93c05a2e23d82d637dfc877732f4056a4a18f04b82e2f3e,Worm.Win32.NetSky.7
70b96eceb9487940bb1b6611f5e2f2d01623890c95c40144731fa20b08014ec7,Trojan.Win32.CobaltStrike.8
1d0a882f28e62988e7286d142a52af6a64b5cd35d54c4e5c58fb1bc33671d85a,HackTool.Win32.Mimikatz.9
5303bde2d33a3a1acf0bbc7e411477f5408846ba57357271a9a43c704f8a40f4,Adware.Win32.DealPly.10
429df59c90bb8a71b18e6b2b9d1bd9e177839d88ffec6c372ff8ea9b5f3510bf,Dropper.Win32.Generic.11
ccab5f7670c478974d9bedd0d017426ec658b18302a2bd7ba0d6c5f57d168700,Trojan.Win32.WannaCry.12
01a022969b39c07ca65c43e79a39dfcd1fedbc93fa22b201ad623e22d95e40f5,Ransom.Win32.LockBit.13
c524d7ad965c673c7c5a83d2cb58b09a6e8b1d7640084e9eca008651ec1be6e9,Backdoor.Win32.DarkComet.14
3a78c18b70e2023464e8763813819146e719f7c985ff84324529e81fe7ae95ea,Spyware.Win32.AgentTesla.15
c96a8a6d70219d3b0928788eed36e02cfc5df178f5694cd8928d8d112ca85d23,Trojan.Win32.RedLine.16
c9dd417f349d9e8cbbe1e5bdc35465d32f4fcedd7942c438d1be904c525815d7,Miner.Win32.XMRig.17
1b3bf3c0bbadb1fbb54207118d2613987ae879b8c2204d465a4cb5dde6c5a934,Trojan.Win32.Emotet.18
7940dda14651ccdab10163f0a93775721764d00409ba421d5fbf3005d4a0dbcb,Worm.Win32.NetSky.19
b8bb5606fd1af28d6d79deb7a007c508e58ff05805444206bc2301f584e96c2a,Trojan.Win32.CobaltStrike.20
3066b9173b8d1c1b85525eed7cf2488e773132f7445fb0abdbcf930bd48e5566,HackTool.Win32.Mimikatz.21
a31278b4ef7659cec8ccd367cbde0fe8674584b64bb9f3b8a39ad1359f5084ff,Adware.Win32.DealPly.22
cdb51b92cf8b3a55ea353f827ae44841c763f1fc44bfe03fcfd68f74e13bfa87,Dropper.Win32.Generic.23
72d6a6bf0cc048ac6d841d0914574df74fdce87b657b9a130ffcda563679deb7,Trojan.Win32.WannaCry.24
2dc08b066a050dbe32a6337a3e977902b8138cf9971a317848a4fa905ac26c49,Ransom.Win32.LockBit.25
e9f089749c52b79a3268bfec5b23e1f8402011f529d1139d6e17ebbf25c36821,Backdoor.Win32.DarkComet.26
1fcc709fc9d0b8535143d085383b958ad485511e7be7aec3eb808aac693464f1,Spyware.Win32.AgentTesla.27
37d7404a8131b74bccf7edd67f911198d6206c0521701d869208a1eac041727c,Trojan.Win32.RedLine.28
889d4dac60f9d090300a5d90d2cdfa45865e9c1f10044232ae2031b3ef2901e0,Miner.Win32.XMRig.29
a7edd9ecce2420682153221d8bb27f698772369ab5fe424f66799e5375c84e58,Trojan.Win32.Emotet.30
e7572ae7b81c9fb0b2295db48ba0b5711f9fda2c51cad89a5c9b8bf5c0b31341,Worm.Win32.NetSky.31
3a866c18a8cd13556fdab2c2b41b259107b08cca88aa40cc665a9eb919b01c1d,Trojan.Win32.CobaltStrike.32
892275950943b140e928aa7cb56543aa4f2b6fe0c89adbac0cc7f09d6e3ba737,HackTool.Win32.Mimikatz.33
a0b051d1366744cd4547bcf848a2755b0978c8e8e543d8ed1fb1dc6468cb3aa6,Adware.Win32.DealPly.34
dcf2de47f60718b521f538c78b5ecafb4d58a7c2a9b43592d7e4049df039cb9e,Dropper.Win32.Generic.35
c7b3e616b01ec0bd01ac70161d794a7968f66a1b019a1f3567b37499023bd19a,Trojan.Win32.WannaCry.36
bfd078d8671ae7dc76e8b3d2700800e73ad05bc86ce6c4e600d0bb4f568178b0,Ransom.Win32.LockBit.37
36c7268ac5fe70f9de263257ac429f70038a544cc770ee95f0f0121eec8ee666,Backdoor.Win32.DarkComet.38
9a0f9c164f54c89b15e534368e7b16dc70ca9105f5fd187382217cbe28842d74,Spyware.Win32.AgentTesla.39
914178bd61a0e785b2c55e5a237702f176d175623da9c9e55e9bab8c27266ecb,Trojan.Win32.RedLine.40
ab4d786bdea5024ca0557ffb251e7338ac68dbf359fd7dc391388e7bfd486a6b,Miner.Win32.XMRig.41
2ae5040f680f13cb8f3fe824fdbb63b07da891e7dc8ac7da291ff2fac1c743ea,Trojan.Win32.Emotet.42
b8e4af9990b6f2be97e3114727a8a188814a063ce30a98c4a76f07d7a68b011d,Worm.Win32.NetSky.43
810f80bccf78a96f6aa5257e3047b3e33fbc109f190ac60ba7cfd560174fcfc8,Trojan.Win32.CobaltStrike.44
0f2523279d2abe717a4544241591b63882fcc64b0a34f1ff5ffce1fcc79cf8ff,HackTool.Win32.Mimikatz.45
0f3b0033cf614639ea418e0f9421cd34eee3467daff3b534f76ef20da98c4448,Adware.Win32.DealPly.46
da43a8a162b42f14bd242ffe9aa7ec3c7ab7c0a75c9a4ad4252888ecb0799786,Dropper.Win32.Generic.47
f7425e48bba71a95863014c727e6bfc05de0ef71a895aaca54b048c46e60712d,Trojan.Win32.WannaCry.48
0b4559cb08ae846c6690c8a94cc736d7944f4a356c0106a097174f5a43352e22,Ransom.Win32.LockBit.49
b0c2c3352c0d56289732bed89f7bfe601b0470d59d06efbeed32517c9594f868,Backdoor.Win32.DarkComet.0
25d4a8b86061aae054c52b31f988584c4bb3da166d495a2cfaa97c7260e1670f,Spyware.Win32.AgentTesla.1
126e7c6a931d45297fcc4bc89e883d230c239d066fb6482438b827ed39254faa,Trojan.Win32.RedLine.2
cf5b23441ddb7732daf6fa96b1fedf606ac3d5086616f8ad078c2d1b50ad3118,Miner.Win32.XMRig.3
e6a57679a2b0bdeafcc0a60e37a8e26651903a3f824b51b4106bd4f15c00ceab,Trojan.Win32.Emotet.4
c812c4dad8f68edcb2ab3f29c375254b3305f88c06376e2962da14d45b0191e6,Worm.Win32.NetSky.5
1bcb4fad99c4b9da8ea512cc68fbe5e707b77ddf7899cffabae7c203f947214c,Trojan.Win32.CobaltStrike.6
cb53f556b0bb7520b6a9e7f8113f153df5d8e0e1e57b7313998faa170fa6ea96,HackTool.Win32.Mimikatz.7
45ac501acc0cddbcf712f2ba737b3cae272bbce9be445adfa0d028c22d0f478d,Adware.Win32.DealPly.8
b943544300512a57975b54b363c88b6d61c157425f17095a5c22380c55eacda1,Dropper.Win32.Generic.9
61106da65d045d259499f6c4b3b9c8298bac83d9a517c04e9e3d65d7e3b89359,Trojan.Win32.WannaCry.10
4d5326bc3046e33e6ccd9b99d112c9a78d7ed4dea37463a93b976afc84eef841,Ransom.Win32.LockBit.11
5b80e4c1636fd531c1a5e30f9f8532f9987785d2735ccdbc3a1cd4967ccbb51e,Backdoor.Win32.DarkComet.12
8b6ae1cf7c2ed4e4c63d273591efff5e66aae4f8c82c27bc646147eff3619dc7,Spyware.Win32.AgentTesla.13
f1e067aea33472a69804b453a97733609ca83d231234b19697efbe6ad71d7310,Trojan.Win32.RedLine.14
43d72f27074130f7c94e616f74aaf47a6b10c4484759d2ad3912eb71cd7afa2e,Miner.Win32.XMRig.15
15934e02ffc2af4697281e83b3053594237a106009361c6d6baf562c8dc332d6,Trojan.Win32.Emotet.16
a5811c7a04e9d53f1495aa4891db6e5bda8b0c640912f1b516764651e4830320,Worm.Win32.NetSky.17
59a31b3f9dfbaabf5c3bd02545e675379522ce4bde775e9b5288cd94102c625e,Trojan.Win32.CobaltStrike.18
1848d7b0544a895ce8c5ffa671f4d32426184ef9c8bc232364666aa17d8a6a23,HackTool.Win32.Mimikatz.19
779c5738750c38d32c7df4b35b5a2b17a1fc184d246c47d072f6c9397851dc7d,Adware.Win32.DealPly.20
c263ed415c74aca5410fd1252b4c3bbc2143172cd4fd5f4509789fbf42c82cb7,Dropper.Win32.Generic.21
9e03607779d6933cea1e6159e60551b2df241121dfd31a712d78642ca94c7808,Trojan.Win32.WannaCry.22
f8b11a9dc3f431218035a0cec42f6869916d9c02b8582d6ee081ff6e18360ff8,Ransom.Win32.LockBit.23
995307ce356118d21839ec20b95c270efff475f6949cc708dc7343ffaba7c88c,Backdoor.Win32.DarkComet.24
a67a7b950e834b956f99631db3161769981e57c28e7e678148464cbd66f30ec0,Spyware.Win32.AgentTesla.25
e9c120eceeabab1cff314394997404533cfc9439553127947fd610af098731d6,Trojan.Win32.RedLine.26
5d37a194c26804882b389f1d8b768c3e640eab2464585243175a8a293c3be63c,Miner.Win32.XMRig.27
b1bbb41f201ad2bd4812c799db6c7dc44416a0c3f1fa903066926252ac39e534,Trojan.Win32.Emotet.28
f49098b10adbe99b87cea2ca94ec77b1ac1b834cce96b09c5914dafe47e1f1d0,Worm.Win32.NetSky.29
5a0db51ab4c809e6a9fc5fbe4f61333f6272c39670dda8c5e07b040b26fe7fb2,Trojan.Win32.CobaltStrike.30
0949326547cfd0c43b5deac8a7712d997fb6a36170690924829747540764d689,HackTool.Win32.Mimikatz.31
eff345b2a7067c094998c2eac31c64fa561b2b27093544a5601128e52dd9a8a9,Adware.Win32.DealPly.32
8ccac5d4af307aeb025d7480f88bf75de36ba1a1ea0a5eb105157632344e075b,Dropper.Win32.Generic.33
486db39d0e99527dd7c81a357efc472bed86b98e38fb27f131adb7f4ce169c18,Trojan.Win32.WannaCry.34
fc718e99606074b03aa71f7aa220723a28e0d148b65b9400ef13283e8808783e,Ransom.Win32.LockBit.35
22e15e5a7f9621e9a0f9a20905dea377660209477b048c45063df8d1b14089b2,Backdoor.Win32.DarkComet.36
17372ae5c4f85ed32cb71a49eaac16f55e2f6a074674f224492766bf19a8b466,Spyware.Win32.AgentTesla.37
6116a29d6a35cc534579fe1440c9be76f339c532e5ddcb631e4a8c62402e454f,Trojan.Win32.RedLine.38
543ac2c8b6a61924c7f3125764a1ec2069589b2567fe1543965fd675044241f0,Miner.Win32.XMRig.39
bec4c2f281a3dc96654af32cd0d659d6c97340887c62b27ec7506ee356a74c40,Trojan.Win32.Emotet.40
a4ed10db6724329f55b758d9ff61bd4b6d85970d4cceb04b768bbad4b3c52889,Worm.Win32.NetSky.41
abb9e526317f1df50afb89a817e5b7725e3147f2bcee6e3f217adc808fbee5da,Trojan.Win32.CobaltStrike.42
fb89bd724bc5d76a30044041da1bcb73fe07e57b8536c04fa066003287ed6aba,HackTool.Win32.Mimikatz.43
e3637c2060582ab22bdc3aa3201ff3689a68b0a8683f9aecb7ea03acee729aea,Adware.Win32.DealPly.44
45f01dae7ef1a8197530e10c28e09ba93f1e4e0549fb256f797f9492ec397407,Dropper.Win32.Generic.45
e191564d6efd45fb09d4d64e774266826259372735cdc60495c2b6d7cd41e99e,Trojan.Win32.WannaCry.46
f58b7f94018849df501ba4dea2fe8990d9117a84f05d46cdb21bb04ebcd296dc,Ransom.Win32.LockBit.47
fdc464aa412ca85603bd39b0e0dd64f75d75efdbd7d503bf3bd5da873337ed42,Backdoor.Win32.DarkComet.48
5f7110e6e0cde8651e9f2419529f1085977691329e10e0d3edcc8ff3f8f122ac,Spyware.Win32.AgentTesla.49
a2f300fcb9f638b888db2a7be082f988df8a216f85ab995bad2321e3c40c5655,Trojan.Win32.RedLine.0
64379efad59519452399ab3e85d139fb7f76e107d3c704fa25baff1341a8372e,Miner.Win32.XMRig.1
5d785122e051400a9a0cb01842248cc2ba765a5fb862e8649d38b13ea90a86aa,Trojan.Win32.Emotet.2
439d75057268791b5f1f9a09389f8acc6a972923fa66f51541012fa681d42165,Worm.Win32.NetSky.3
